interpolation:linear
wavelength,value
280.0,0.03618
280.5,0.03618
281.0,0.03618
281.5,0.03618
282.0,0.03618
282.5,0.03618
283.0,0.03618
283.5,0.03618
284.0,0.03618
284.5,0.03618
285.0,0.03618
285.5,0.03618
286.0,0.03618
286.5,0.03618
287.0,0.03618
287.5,0.03618
288.0,0.03618
288.5,0.03618
289.0,0.03618
289.5,0.03618
290.0,0.03618
290.5,0.03618
291.0,0.03618
291.5,0.03618
292.0,0.03618
292.5,0.03618
293.0,0.03618
293.5,0.03618
294.0,0.03618
294.5,0.03618
295.0,0.03618
295.5,0.03618
296.0,0.03618
296.5,0.03618
297.0,0.03618
297.5,0.03618
298.0,0.03618
298.5,0.03618
299.0,0.03618
299.5,0.03618
300.0,0.03618
300.5,0.036
301.0,0.03583
301.5,0.03565
302.0,0.03548
302.5,0.0353
303.0,0.03513
303.5,0.03495
304.0,0.03478
304.5,0.0346
305.0,0.03443
305.5,0.03425
306.0,0.03408
306.5,0.0339
307.0,0.03373
307.5,0.03355
308.0,0.03338
308.5,0.0332
309.0,0.03303
309.5,0.03285
310.0,0.03268
310.5,0.0325
311.0,0.03233
311.5,0.03215
312.0,0.03198
312.5,0.0318
313.0,0.03163
313.5,0.03145
314.0,0.03128
314.5,0.0311
315.0,0.03093
315.5,0.03075
316.0,0.03058
316.5,0.0304
317.0,0.03023
317.5,0.03005
318.0,0.02988
318.5,0.0297
319.0,0.02953
319.5,0.02935
320.0,0.02918
320.5,0.02906
321.0,0.02894
321.5,0.02882
322.0,0.02871
322.5,0.02859
323.0,0.02847
323.5,0.02836
324.0,0.02824
324.5,0.02812
325.0,0.02801
325.5,0.02789
326.0,0.02777
326.5,0.02766
327.0,0.02754
327.5,0.02742
328.0,0.02731
328.5,0.02719
329.0,0.02707
329.5,0.02696
330.0,0.02684
330.5,0.02672
331.0,0.02661
331.5,0.02649
332.0,0.02637
332.5,0.02626
333.0,0.02614
333.5,0.02602
334.0,0.02591
334.5,0.02579
335.0,0.02567
335.5,0.02556
336.0,0.02544
336.5,0.02532
337.0,0.02521
337.5,0.02509
338.0,0.02497
338.5,0.02486
339.0,0.02474
339.5,0.02462
340.0,0.02451
340.5,0.02445
341.0,0.02439
341.5,0.02433
342.0,0.02427
342.5,0.02422
343.0,0.02416
343.5,0.0241
344.0,0.02404
344.5,0.02398
345.0,0.02392
345.5,0.02387
346.0,0.02381
346.5,0.02375
347.0,0.02369
347.5,0.02363
348.0,0.02357
348.5,0.02352
349.0,0.02346
349.5,0.0234
350.0,0.02334
350.5,0.02328
351.0,0.02322
351.5,0.02317
352.0,0.02311
352.5,0.02305
353.0,0.02299
353.5,0.02293
354.0,0.02287
354.5,0.02282
355.0,0.02276
355.5,0.0227
356.0,0.02264
356.5,0.02258
357.0,0.02252
357.5,0.02247
358.0,0.02241
358.5,0.02235
359.0,0.02229
359.5,0.02223
360.0,0.02217
360.5,0.02217
361.0,0.02217
361.5,0.02217
362.0,0.02217
362.5,0.02217
363.0,0.02217
363.5,0.02217
364.0,0.02217
364.5,0.02218
365.0,0.02218
365.5,0.02218
366.0,0.02218
366.5,0.02218
367.0,0.02218
367.5,0.02218
368.0,0.02218
368.5,0.02218
369.0,0.02218
369.5,0.02218
370.0,0.02218
370.5,0.02218
371.0,0.02218
371.5,0.02218
372.0,0.02218
372.5,0.02218
373.0,0.02218
373.5,0.02218
374.0,0.02218
374.5,0.02218
375.0,0.02218
375.5,0.02218
376.0,0.02218
376.5,0.02218
377.0,0.02218
377.5,0.02218
378.0,0.02218
378.5,0.02218
379.0,0.02218
379.5,0.02218
380.0,0.02218
380.5,0.0223
381.0,0.02241
381.5,0.02253
382.0,0.02265
382.5,0.02277
383.0,0.02288
383.5,0.023
384.0,0.02312
384.5,0.02324
385.0,0.02335
385.5,0.02347
386.0,0.02359
386.5,0.0237
387.0,0.02382
387.5,0.02394
388.0,0.02406
388.5,0.02417
389.0,0.02429
389.5,0.02441
390.0,0.02453
390.5,0.02458
391.0,0.02464
391.5,0.0247
392.0,0.02476
392.5,0.02482
393.0,0.02488
393.5,0.02494
394.0,0.025
394.5,0.02506
395.0,0.02512
395.5,0.02518
396.0,0.02524
396.5,0.02529
397.0,0.02535
397.5,0.02541
398.0,0.02547
398.5,0.02553
399.0,0.02559
399.5,0.02565
400.0,0.02571
401.0,0.02595
402.0,0.02618
403.0,0.02642
404.0,0.02666
405.0,0.02689
406.0,0.02713
407.0,0.02737
408.0,0.02761
409.0,0.02784
410.0,0.02808
411.0,0.0282
412.0,0.02832
413.0,0.02844
414.0,0.02857
415.0,0.02869
416.0,0.02881
417.0,0.02893
418.0,0.02905
419.0,0.02918
420.0,0.0293
421.0,0.02942
422.0,0.02955
423.0,0.02967
424.0,0.02979
425.0,0.02992
426.0,0.03004
427.0,0.03017
428.0,0.03029
429.0,0.03042
430.0,0.03054
431.0,0.03067
432.0,0.03079
433.0,0.03092
434.0,0.03105
435.0,0.03117
436.0,0.0313
437.0,0.03143
438.0,0.03156
439.0,0.03168
440.0,0.03181
441.0,0.03183
442.0,0.03184
443.0,0.03184
444.0,0.03185
445.0,0.03186
446.0,0.03188
447.0,0.03189
448.0,0.0319
449.0,0.03192
450.0,0.03194
451.0,0.03195
452.0,0.03196
453.0,0.03198
454.0,0.03199
455.0,0.03201
456.0,0.03202
457.0,0.03204
458.0,0.03205
459.0,0.03207
460.0,0.03208
461.0,0.03222
462.0,0.03235
463.0,0.03248
464.0,0.03262
465.0,0.03276
466.0,0.0329
467.0,0.03303
468.0,0.03317
469.0,0.0333
470.0,0.03343
471.0,0.03369
472.0,0.03394
473.0,0.03419
474.0,0.03444
475.0,0.03468
476.0,0.03492
477.0,0.03517
478.0,0.03544
479.0,0.03572
480.0,0.036
481.0,0.03629
482.0,0.03657
483.0,0.03684
484.0,0.03711
485.0,0.03737
486.0,0.03764
487.0,0.0379
488.0,0.03817
489.0,0.03843
490.0,0.0387
491.0,0.03886
492.0,0.03901
493.0,0.03915
494.0,0.0393
495.0,0.03944
496.0,0.03959
497.0,0.03975
498.0,0.0399
499.0,0.04005
500.0,0.0402
501.0,0.04083
502.0,0.04145
503.0,0.04207
504.0,0.04261
505.0,0.04334
506.0,0.04398
507.0,0.04461
508.0,0.04527
509.0,0.04592
510.0,0.04658
511.0,0.04749
512.0,0.0484
513.0,0.04929
514.0,0.0502
515.0,0.0511
516.0,0.052
517.0,0.0529
518.0,0.0538
519.0,0.0547
520.0,0.0556
521.0,0.05662
522.0,0.05765
523.0,0.05868
524.0,0.05969
525.0,0.0607
526.0,0.06174
527.0,0.06276
528.0,0.0638
529.0,0.06483
530.0,0.06586
531.0,0.06653
532.0,0.0672
533.0,0.06787
534.0,0.06855
535.0,0.06924
536.0,0.06993
537.0,0.07061
538.0,0.07128
539.0,0.07195
540.0,0.0726
541.0,0.07306
542.0,0.0736
543.0,0.07423
544.0,0.07472
545.0,0.07529
546.0,0.07579
547.0,0.07641
548.0,0.07701
549.0,0.07758
550.0,0.07814
551.0,0.07846
552.0,0.07878
553.0,0.07907
554.0,0.07939
555.0,0.07969
556.0,0.08
557.0,0.08029
558.0,0.08058
559.0,0.08088
560.0,0.08116
561.0,0.08132
562.0,0.08148
563.0,0.08162
564.0,0.08176
565.0,0.0819
566.0,0.08204
567.0,0.08215
568.0,0.08215
569.0,0.08207
570.0,0.08226
571.0,0.08225
572.0,0.08198
573.0,0.08185
574.0,0.0817
575.0,0.08152
576.0,0.08141
577.0,0.08133
578.0,0.08132
579.0,0.08139
580.0,0.08154
581.0,0.08164
582.0,0.08168
583.0,0.0817
584.0,0.08167
585.0,0.08163
586.0,0.08155
587.0,0.08137
588.0,0.08098
589.0,0.08007
590.0,0.07994
591.0,0.08003
592.0,0.07925
593.0,0.07913
594.0,0.07864
595.0,0.07783
596.0,0.0781
597.0,0.07738
598.0,0.07716
599.0,0.07678
600.0,0.07641
601.0,0.07631
602.0,0.07612
603.0,0.07597
604.0,0.07578
605.0,0.07558
606.0,0.07536
607.0,0.07514
608.0,0.07492
609.0,0.07471
610.0,0.07449
611.0,0.07388
612.0,0.07327
613.0,0.07266
614.0,0.07204
615.0,0.07142
616.0,0.07079
617.0,0.07016
618.0,0.06953
619.0,0.0689
620.0,0.06826
621.0,0.06788
622.0,0.0675
623.0,0.06711
624.0,0.06671
625.0,0.0663
626.0,0.06587
627.0,0.06538
628.0,0.06322
629.0,0.06402
630.0,0.06357
631.0,0.06366
632.0,0.06338
633.0,0.06317
634.0,0.06294
635.0,0.06263
636.0,0.06231
637.0,0.06199
638.0,0.0617
639.0,0.06135
640.0,0.06102
641.0,0.0608
642.0,0.0606
643.0,0.06035
644.0,0.06014
645.0,0.05984
646.0,0.05946
647.0,0.05881
648.0,0.05868
649.0,0.05827
650.0,0.05851
651.0,0.05833
652.0,0.05772
653.0,0.05786
654.0,0.05762
655.0,0.05717
656.0,0.05704
657.0,0.05684
658.0,0.05669
659.0,0.05649
660.0,0.05627
661.0,0.05624
662.0,0.05619
663.0,0.05607
664.0,0.05595
665.0,0.05584
666.0,0.05573
667.0,0.05562
668.0,0.05552
669.0,0.0554
670.0,0.05529
671.0,0.05532
672.0,0.05534
673.0,0.05536
674.0,0.05538
675.0,0.0554
676.0,0.05542
677.0,0.05544
678.0,0.05547
679.0,0.05549
680.0,0.0555
681.0,0.05552
682.0,0.05553
683.0,0.05554
684.0,0.05555
685.0,0.05558
686.0,0.05556
687.0,0.04856
688.0,0.05029
689.0,0.05039
690.0,0.05137
691.0,0.05292
692.0,0.05428
693.0,0.05471
694.0,0.05542
695.0,0.05631
696.0,0.05662
697.0,0.05749
698.0,0.05771
699.0,0.05756
700.0,0.05785
701.0,0.05829
702.0,0.05912
703.0,0.06
704.0,0.06096
705.0,0.06157
706.0,0.06234
707.0,0.06309
708.0,0.06376
709.0,0.06464
710.0,0.06518
711.0,0.07017
712.0,0.07522
713.0,0.07998
714.0,0.08501
715.0,0.08968
716.0,0.09447
717.0,0.09609
718.0,0.1009
719.0,0.1055
720.0,0.1093
721.0,0.1178
722.0,0.1257
723.0,0.1311
724.0,0.1358
725.0,0.1414
726.0,0.1473
727.0,0.1552
728.0,0.1592
729.0,0.1674
730.0,0.1729
731.0,0.1793
732.0,0.1888
733.0,0.1973
734.0,0.2051
735.0,0.2119
736.0,0.2186
737.0,0.2259
738.0,0.2347
739.0,0.2419
740.0,0.2495
741.0,0.2576
742.0,0.2658
743.0,0.2737
744.0,0.2818
745.0,0.2899
746.0,0.2978
747.0,0.3058
748.0,0.3137
749.0,0.3216
750.0,0.3295
751.0,0.3334
752.0,0.3373
753.0,0.3412
754.0,0.3451
755.0,0.349
756.0,0.353
757.0,0.3569
758.0,0.3607
759.0,0.3628
760.0,0.3116
761.0,0.3149
762.0,0.3192
763.0,0.3214
764.0,0.3248
765.0,0.329
766.0,0.3392
767.0,0.3638
768.0,0.3895
769.0,0.3977
770.0,0.4059
771.0,0.41
772.0,0.4129
773.0,0.4155
774.0,0.4181
775.0,0.4206
776.0,0.4231
777.0,0.4256
778.0,0.428
779.0,0.4304
780.0,0.4329
781.0,0.4344
782.0,0.4358
783.0,0.4373
784.0,0.4388
785.0,0.4401
786.0,0.4414
787.0,0.4415
788.0,0.4426
789.0,0.4441
790.0,0.4441
791.0,0.4463
792.0,0.4474
793.0,0.448
794.0,0.4502
795.0,0.4506
796.0,0.4488
797.0,0.4495
798.0,0.4526
799.0,0.4531
800.0,0.4531
801.0,0.4527
802.0,0.4524
803.0,0.4519
804.0,0.4525
805.0,0.4534
806.0,0.4548
807.0,0.4548
808.0,0.4547
809.0,0.4537
810.0,0.4536
811.0,0.4519
812.0,0.4496
813.0,0.4492
814.0,0.4438
815.0,0.4443
816.0,0.4433
817.0,0.4424
818.0,0.4413
819.0,0.4438
820.0,0.4441
821.0,0.4482
822.0,0.4462
823.0,0.4284
824.0,0.4426
825.0,0.4465
826.0,0.4428
827.0,0.4445
828.0,0.4362
829.0,0.4421
830.0,0.4414
831.0,0.4403
832.0,0.4387
833.0,0.44
834.0,0.4389
835.0,0.4412
836.0,0.4382
837.0,0.4398
838.0,0.4383
839.0,0.4385
840.0,0.4382
841.0,0.4377
842.0,0.4386
843.0,0.4396
844.0,0.4393
845.0,0.4398
846.0,0.4401
847.0,0.4403
848.0,0.4401
849.0,0.4402
850.0,0.4402
851.0,0.4405
852.0,0.4414
853.0,0.4422
854.0,0.4426
855.0,0.4435
856.0,0.444
857.0,0.4449
858.0,0.4454
859.0,0.4461
860.0,0.4468
861.0,0.4475
862.0,0.4483
863.0,0.4491
864.0,0.4498
865.0,0.4506
866.0,0.4514
867.0,0.4521
868.0,0.4529
869.0,0.4536
870.0,0.4544
871.0,0.455
872.0,0.4556
873.0,0.4562
874.0,0.4568
875.0,0.4574
876.0,0.458
877.0,0.4587
878.0,0.4592
879.0,0.4598
880.0,0.4605
881.0,0.4604
882.0,0.4603
883.0,0.4605
884.0,0.4605
885.0,0.4605
886.0,0.4601
887.0,0.4606
888.0,0.4604
889.0,0.4609
890.0,0.4604
891.0,0.4606
892.0,0.4597
893.0,0.4591
894.0,0.4572
895.0,0.4546
896.0,0.4531
897.0,0.4495
898.0,0.4504
899.0,0.443
900.0,0.4516
901.0,0.4428
902.0,0.4456
903.0,0.4445
904.0,0.4526
905.0,0.4512
906.0,0.4494
907.0,0.4402
908.0,0.443
909.0,0.4428
910.0,0.4359
911.0,0.442
912.0,0.4413
913.0,0.4338
914.0,0.4369
915.0,0.4325
916.0,0.4328
917.0,0.4361
918.0,0.4296
919.0,0.4355
920.0,0.4392
921.0,0.4373
922.0,0.4335
923.0,0.4352
924.0,0.4296
925.0,0.4277
926.0,0.4266
927.0,0.4275
928.0,0.409
929.0,0.4013
930.0,0.3781
931.0,0.3719
932.0,0.3592
933.0,0.3543
934.0,0.3504
935.0,0.3517
936.0,0.3484
937.0,0.3472
938.0,0.3459
939.0,0.3607
940.0,0.3694
941.0,0.3531
942.0,0.3544
943.0,0.3437
944.0,0.35
945.0,0.3479
946.0,0.3331
947.0,0.3414
948.0,0.3398
949.0,0.3491
950.0,0.3251
951.0,0.3437
952.0,0.3321
953.0,0.3353
954.0,0.3392
955.0,0.3397
956.0,0.3534
957.0,0.3257
958.0,0.3526
959.0,0.3381
960.0,0.3396
961.0,0.3475
962.0,0.3471
963.0,0.3545
964.0,0.352
965.0,0.3497
966.0,0.3529
967.0,0.3516
968.0,0.3642
969.0,0.361
970.0,0.3606
971.0,0.364
972.0,0.3643
973.0,0.3605
974.0,0.3618
975.0,0.364
976.0,0.3618
977.0,0.3696
978.0,0.3676
979.0,0.3697
980.0,0.3707
981.0,0.374
982.0,0.3741
983.0,0.3739
984.0,0.3773
985.0,0.3754
986.0,0.3793
987.0,0.3791
988.0,0.3801
989.0,0.3816
990.0,0.3809
991.0,0.3822
992.0,0.3822
993.0,0.3816
994.0,0.3824
995.0,0.3825
996.0,0.3824
997.0,0.3825
998.0,0.3824
999.0,0.3825
1000.0,0.3824
1001.0,0.3823
1002.0,0.3812
1003.0,0.3817
1004.0,0.3812
1005.0,0.3812
1006.0,0.3809
1007.0,0.3807
1008.0,0.3803
1009.0,0.3799
1010.0,0.3796
1011.0,0.3795
1012.0,0.379
1013.0,0.3787
1014.0,0.3783
1015.0,0.3779
1016.0,0.3775
1017.0,0.377
1018.0,0.3767
1019.0,0.376
1020.0,0.3759
1021.0,0.3754
1022.0,0.3747
1023.0,0.3742
1024.0,0.3734
1025.0,0.3731
1026.0,0.3725
1027.0,0.372
1028.0,0.3714
1029.0,0.3708
1030.0,0.3704
1031.0,0.3698
1032.0,0.3693
1033.0,0.3687
1034.0,0.3682
1035.0,0.3676
1036.0,0.367
1037.0,0.3665
1038.0,0.3659
1039.0,0.3653
1040.0,0.3648
1041.0,0.3641
1042.0,0.3634
1043.0,0.3627
1044.0,0.3619
1045.0,0.3612
1046.0,0.3605
1047.0,0.3598
1048.0,0.3591
1049.0,0.3584
1050.0,0.3576
1051.0,0.3568
1052.0,0.3559
1053.0,0.355
1054.0,0.3541
1055.0,0.3532
1056.0,0.3523
1057.0,0.3515
1058.0,0.3506
1059.0,0.3497
1060.0,0.3488
1061.0,0.3477
1062.0,0.3465
1063.0,0.3453
1064.0,0.3442
1065.0,0.343
1066.0,0.3419
1067.0,0.3408
1068.0,0.3396
1069.0,0.3386
1070.0,0.3374
1071.0,0.3366
1072.0,0.3355
1073.0,0.3345
1074.0,0.3338
1075.0,0.3324
1076.0,0.3319
1077.0,0.3307
1078.0,0.3295
1079.0,0.3291
1080.0,0.3276
1081.0,0.3263
1082.0,0.3256
1083.0,0.3246
1084.0,0.3228
1085.0,0.3221
1086.0,0.3202
1087.0,0.3196
1088.0,0.3189
1089.0,0.3172
1090.0,0.3158
1091.0,0.3149
1092.0,0.3134
1093.0,0.3103
1094.0,0.3102
1095.0,0.307
1096.0,0.3049
1097.0,0.3057
1098.0,0.3017
1099.0,0.3
1100.0,0.2972
1101.0,0.2964
1102.0,0.2936
1103.0,0.2905
1104.0,0.2895
1105.0,0.2885
1106.0,0.28
1107.0,0.2848
1108.0,0.2788
1109.0,0.2764
1110.0,0.2773
1111.0,0.2624
1112.0,0.2712
1113.0,0.2521
1114.0,0.2491
1115.0,0.2428
1116.0,0.2262
1117.0,0.2192
1118.0,0.2236
1119.0,0.2162
1120.0,0.214
1121.0,0.212
1122.0,0.2094
1123.0,0.2075
1124.0,0.2054
1125.0,0.2039
1126.0,0.201
1127.0,0.1995
1128.0,0.1968
1129.0,0.1947
1130.0,0.1927
1131.0,0.195
1132.0,0.191
1133.0,0.1859
1134.0,0.1832
1135.0,0.1809
1136.0,0.1786
1137.0,0.1799
1138.0,0.1762
1139.0,0.186
1140.0,0.1772
1141.0,0.171
1142.0,0.1714
1143.0,0.1758
1144.0,0.1662
1145.0,0.1635
1146.0,0.1624
1147.0,0.161
1148.0,0.1678
1149.0,0.1627
1150.0,0.1612
1151.0,0.16
1152.0,0.1629
1153.0,0.1669
1154.0,0.1572
1155.0,0.1705
1156.0,0.1682
1157.0,0.1769
1158.0,0.1766
1159.0,0.1762
1160.0,0.1777
1161.0,0.182
1162.0,0.1817
1163.0,0.1843
1164.0,0.183
1165.0,0.1812
1166.0,0.1823
1167.0,0.1822
1168.0,0.1821
1169.0,0.1819
1170.0,0.1821
1171.0,0.1816
1172.0,0.1821
1173.0,0.1815
1174.0,0.1791
1175.0,0.1817
1176.0,0.1821
1177.0,0.1816
1178.0,0.1804
1179.0,0.1816
1180.0,0.181
1181.0,0.1808
1182.0,0.1783
1183.0,0.181
1184.0,0.1807
1185.0,0.1802
1186.0,0.1813
1187.0,0.1808
1188.0,0.1777
1189.0,0.1808
1190.0,0.1814
1191.0,0.1808
1192.0,0.1815
1193.0,0.1813
1194.0,0.1814
1195.0,0.181
1196.0,0.1807
1197.0,0.1815
1198.0,0.1815
1199.0,0.18
1200.0,0.1813
1201.0,0.1808
1202.0,0.1814
1203.0,0.181
1204.0,0.1809
1205.0,0.1816
1206.0,0.1818
1207.0,0.1813
1208.0,0.1815
1209.0,0.1815
1210.0,0.1817
1211.0,0.1816
1212.0,0.1809
1213.0,0.1817
1214.0,0.1811
1215.0,0.1811
1216.0,0.1818
1217.0,0.1817
1218.0,0.1818
1219.0,0.1817
1220.0,0.1818
1221.0,0.182
1222.0,0.1819
1223.0,0.1818
1224.0,0.1817
1225.0,0.1819
1226.0,0.182
1227.0,0.1816
1228.0,0.1821
1229.0,0.182
1230.0,0.182
1231.0,0.1821
1232.0,0.1821
1233.0,0.1819
1234.0,0.1822
1235.0,0.1822
1236.0,0.1822
1237.0,0.1821
1238.0,0.1822
1239.0,0.1822
1240.0,0.1822
1241.0,0.1822
1242.0,0.1822
1243.0,0.1822
1244.0,0.1822
1245.0,0.1822
1246.0,0.1822
1247.0,0.1822
1248.0,0.1822
1249.0,0.1822
1250.0,0.1822
1251.0,0.1822
1252.0,0.1822
1253.0,0.1821
1254.0,0.182
1255.0,0.1822
1256.0,0.182
1257.0,0.1819
1258.0,0.1821
1259.0,0.1817
1260.0,0.1817
1261.0,0.1809
1262.0,0.1803
1263.0,0.1803
1264.0,0.1782
1265.0,0.1804
1266.0,0.1793
1267.0,0.1801
1268.0,0.1788
1269.0,0.1516
1270.0,0.1798
1271.0,0.1812
1272.0,0.1812
1273.0,0.1811
1274.0,0.1813
1275.0,0.1814
1276.0,0.1816
1277.0,0.1818
1278.0,0.182
1279.0,0.182
1280.0,0.182
1281.0,0.1821
1282.0,0.1823
1283.0,0.1822
1284.0,0.1822
1285.0,0.1823
1286.0,0.1823
1287.0,0.1822
1288.0,0.1823
1289.0,0.182
1290.0,0.1823
1291.0,0.1823
1292.0,0.1819
1293.0,0.1823
1294.0,0.1823
1295.0,0.1821
1296.0,0.1819
1297.0,0.1817
1298.0,0.182
1299.0,0.1823
1300.0,0.1816
1301.0,0.1816
1302.0,0.1821
1303.0,0.1817
1304.0,0.1803
1305.0,0.182
1306.0,0.1819
1307.0,0.1809
1308.0,0.1817
1309.0,0.1817
1310.0,0.1807
1311.0,0.1816
1312.0,0.1816
1313.0,0.181
1314.0,0.1798
1315.0,0.1797
1316.0,0.1814
1317.0,0.1813
1318.0,0.1817
1319.0,0.1796
1320.0,0.1794
1321.0,0.1807
1322.0,0.1799
1323.0,0.1753
1324.0,0.1799
1325.0,0.1808
1326.0,0.18
1327.0,0.1794
1328.0,0.1766
1329.0,0.1661
1330.0,0.1731
1331.0,0.159
1332.0,0.1574
1333.0,0.1621
1334.0,0.1732
1335.0,0.1719
1336.0,0.1656
1337.0,0.1675
1338.0,0.166
1339.0,0.1653
1340.0,0.1681
1341.0,0.1573
1342.0,0.1598
1343.0,0.1501
1344.0,0.1501
1345.0,0.1487
1346.0,0.1482
1347.0,0.1482
1348.0,0.1482
1349.0,0.1482
1350.0,0.1482
1351.0,0.1482
1352.0,0.1482
1353.0,0.1482
1354.0,0.1482
1355.0,0.1482
1356.0,0.1482
1357.0,0.1482
1358.0,0.1482
1359.0,0.1482
1360.0,0.1482
1361.0,0.1482
1362.0,0.1482
1363.0,0.1482
1364.0,0.1482
1365.0,0.1482
1366.0,0.1482
1367.0,0.1482
1368.0,0.1482
1369.0,0.1482
1370.0,0.1482
1371.0,0.1482
1372.0,0.1482
1373.0,0.1482
