interpolation:linear
wavelength,value
280.0,2.0239999999999999e-23
280.5,6.905e-22
281.0,3.758e-21
281.5,1.238e-19
282.0,4.214e-19
282.5,9.803e-19
283.0,3.034e-18
283.5,4.931e-18
284.0,8.173e-17
284.5,2.411e-16
285.0,1.628e-15
285.5,4.032e-15
286.0,1.469e-14
286.5,5.84e-14
287.0,1.592e-13
287.5,5.89e-13
288.0,1.522e-12
288.5,4.28e-12
289.0,1.097e-11
289.5,3.24e-11
290.0,8.925e-11
290.5,1.816e-10
291.0,3.902e-10
291.5,1.124e-09
292.0,2.25e-09
292.5,3.112e-09
293.0,6.571e-09
293.5,1.571e-08
294.0,2.439e-08
294.5,2.602e-08
295.0,4.377e-08
295.5,7.721e-08
296.0,1.431e-07
296.5,1.919e-07
297.0,2.502e-07
297.5,6.332e-07
298.0,9.46e-07
298.5,9.111e-07
299.0,1.922e-06
299.5,2.938e-06
300.0,3.078e-06
300.5,4.233e-06
301.0,7.024e-06
301.5,1.031e-05
302.0,8.445e-06
302.5,1.528e-05
303.0,2.49e-05
303.5,2.978e-05
304.0,2.761e-05
304.5,4.019e-05
305.0,6.008e-05
305.5,6.893e-05
306.0,6.688e-05
306.5,8.386e-05
307.0,0.0001277
307.5,0.0001763
308.0,0.0001875
308.5,0.0002266
309.0,0.00019
309.5,0.0002676
310.0,0.0002965
310.5,0.0005045
311.0,0.000687
311.5,0.0006871
312.0,0.0008231
312.5,0.001132
313.0,0.001309
313.5,0.001197
314.0,0.001737
314.5,0.001884
315.0,0.002567
315.5,0.001944
316.0,0.002004
316.5,0.003329
317.0,0.004121
317.5,0.00411
318.0,0.003544
318.5,0.00535
319.0,0.007016
319.5,0.004865
320.0,0.005736
320.5,0.008787
321.0,0.009426
321.5,0.009204
322.0,0.008023
322.5,0.007047
323.0,0.007991
323.5,0.01403
324.0,0.01693
324.5,0.01575
325.0,0.01027
325.5,0.0147
326.0,0.02387
326.5,0.02656
327.0,0.02545
327.5,0.02337
328.0,0.01794
328.5,0.0225
329.0,0.03076
329.5,0.0363
330.0,0.03545
330.5,0.0256
331.0,0.02515
331.5,0.0276
332.0,0.03321
332.5,0.03445
333.0,0.0334
333.5,0.02791
334.0,0.02819
334.5,0.03559
335.0,0.03518
335.5,0.04252
336.0,0.02941
336.5,0.03242
337.0,0.0256
337.5,0.03138
338.0,0.03296
338.5,0.03976
339.0,0.03954
339.5,0.03789
340.0,0.04265
340.5,0.03871
341.0,0.0392
341.5,0.03632
342.0,0.0435
342.5,0.0408
343.0,0.04458
343.5,0.04179
344.0,0.0297
344.5,0.03095
345.0,0.04139
345.5,0.04244
346.0,0.03617
346.5,0.04103
347.0,0.0438
347.5,0.03534
348.0,0.04053
348.5,0.04064
349.0,0.03775
349.5,0.03734
350.0,0.04619
350.5,0.0487
351.0,0.04335
351.5,0.04179
352.0,0.04509
352.5,0.03531
353.0,0.04457
353.5,0.04772
354.0,0.04959
354.5,0.05027
355.0,0.05002
355.5,0.04521
356.0,0.04733
356.5,0.0404
357.0,0.03336
357.5,0.04084
358.0,0.03238
358.5,0.02766
359.0,0.03865
359.5,0.04912
360.0,0.05209
360.5,0.04166
361.0,0.038
361.5,0.04376
362.0,0.03785
362.5,0.05237
363.0,0.04702
363.5,0.04329
364.0,0.05293
364.5,0.04521
365.0,0.04602
