interpolation:linear
wavelength,value
280.0,0.0
280.5,0.0
281.0,0.0
281.5,0.0
282.0,0.0
282.5,1.4009999999999999e-45
283.0,7.987e-44
283.5,4.4280000000000004e-43
284.0,1.714e-39
284.5,5.804e-38
285.0,1.607e-36
285.5,2.264e-34
286.0,3.448e-33
286.5,2.2200000000000002e-31
287.0,4.443e-30
287.5,2.1100000000000002e-28
288.0,1.8080000000000003e-26
288.5,3.434e-25
289.0,5.766e-24
289.5,1.263e-22
290.0,1.747e-21
290.5,1.36e-20
291.0,1.439e-19
291.5,3.074e-18
292.0,3.572e-17
292.5,1.267e-16
293.0,8.821e-16
293.5,1.052e-14
294.0,4.859e-14
294.5,1.839e-13
295.0,8.475e-13
295.5,6.736e-12
296.0,2.733e-11
296.5,7.705e-11
297.0,1.815e-10
297.5,1.046e-09
298.0,3.038e-09
298.5,4.81e-09
299.0,1.614e-08
299.5,5.144e-08
300.0,7.954e-08
300.5,1.6e-07
301.0,4.579e-07
301.5,1.047e-06
302.0,1.068e-06
302.5,2.978e-06
303.0,8.205e-06
303.5,1.316e-05
304.0,1.383e-05
304.5,2.629e-05
305.0,5.399e-05
305.5,7.434e-05
306.0,7.809e-05
306.5,0.0001092
307.0,0.0002013
307.5,0.0003236
308.0,0.0003588
308.5,0.0004665
309.0,0.0004622
309.5,0.0006802
310.0,0.0007703
310.5,0.001335
311.0,0.001846
311.5,0.00188
312.0,0.002226
312.5,0.003028
313.0,0.003505
313.5,0.003332
314.0,0.004701
314.5,0.004798
315.0,0.006561
315.5,0.005298
316.0,0.005167
316.5,0.008118
317.0,0.01025
317.5,0.01066
318.0,0.008867
318.5,0.01213
319.0,0.01519
319.5,0.0119
320.0,0.0145
320.5,0.01987
321.0,0.01899
321.5,0.01863
322.0,0.01909
322.5,0.01695
323.0,0.01785
323.5,0.02358
324.0,0.02825
324.5,0.02844
325.0,0.02414
325.5,0.0324
326.0,0.04188
326.5,0.04369
327.0,0.04389
327.5,0.04256
328.0,0.03691
328.5,0.04139
329.0,0.05165
329.5,0.05986
330.0,0.06106
330.5,0.0487
331.0,0.04998
331.5,0.05242
332.0,0.0585
332.5,0.05902
333.0,0.05951
333.5,0.05399
334.0,0.056
334.5,0.06646
335.0,0.06366
335.5,0.07374
336.0,0.05171
336.5,0.06269
337.0,0.05192
337.5,0.06535
338.0,0.06521
338.5,0.0751
339.0,0.07601
339.5,0.07372
340.0,0.08874
340.5,0.08107
341.0,0.07944
341.5,0.07485
342.0,0.09085
342.5,0.08632
343.0,0.09544
343.5,0.0904
344.0,0.06771
344.5,0.06833
345.0,0.09319
345.5,0.0969
346.0,0.08363
346.5,0.09601
347.0,0.1038
347.5,0.08472
348.0,0.0983
348.5,0.09959
349.0,0.0936
349.5,0.09375
350.0,0.1173
350.5,0.1251
351.0,0.1127
351.5,0.1098
352.0,0.1199
352.5,0.0949
353.0,0.1211
353.5,0.1309
354.0,0.1373
354.5,0.1406
355.0,0.1414
355.5,0.1292
356.0,0.1367
356.5,0.1178
357.0,0.09815
357.5,0.1213
358.0,0.09703
358.5,0.08367
359.0,0.118
359.5,0.1516
360.0,0.1622
360.5,0.1309
361.0,0.1205
361.5,0.1404
362.0,0.1228
362.5,0.1718
363.0,0.1559
363.5,0.1451
364.0,0.1791
364.5,0.1545
365.0,0.1587
365.5,0.2009
366.0,0.2149
366.5,0.2039
367.0,0.2002
367.5,0.2095
368.0,0.1849
368.5,0.1882
369.0,0.205
369.5,0.2203
370.0,0.2368
370.5,0.1854
371.0,0.1997
371.5,0.2518
372.0,0.1684
372.5,0.2035
373.0,0.2087
373.5,0.1369
374.0,0.2005
374.5,0.1674
375.0,0.1639
375.5,0.2464
376.0,0.2057
376.5,0.2147
377.0,0.229
377.5,0.2699
378.0,0.2945
378.5,0.2803
379.0,0.2328
379.5,0.214
380.0,0.224
380.5,0.2735
381.0,0.2763
381.5,0.2209
382.0,0.1977
382.5,0.17
383.0,0.1586
383.5,0.1538
384.0,0.1708
384.5,0.253
385.0,0.2526
385.5,0.2369
386.0,0.2043
386.5,0.2704
387.0,0.226
387.5,0.2555
388.0,0.2374
388.5,0.2363
389.0,0.2567
389.5,0.3129
390.0,0.3161
390.5,0.2927
391.0,0.3468
391.5,0.3558
392.0,0.3014
392.5,0.2717
393.0,0.1522
393.5,0.1113
394.0,0.2278
394.5,0.2914
395.0,0.3575
395.5,0.3651
396.0,0.3184
396.5,0.1874
397.0,0.1415
397.5,0.2893
398.0,0.407
398.5,0.423
399.0,0.4611
399.5,0.4621
400.0,0.4819
401.0,0.5005
402.0,0.5341
403.0,0.5131
404.0,0.5101
405.0,0.515
406.0,0.5122
407.0,0.5094
408.0,0.5338
409.0,0.5766
410.0,0.5087
411.0,0.5563
412.0,0.6036
413.0,0.5931
414.0,0.606
415.0,0.6135
416.0,0.6304
417.0,0.62
418.0,0.6137
419.0,0.6271
420.0,0.6293
421.0,0.664
422.0,0.6363
423.0,0.6267
424.0,0.6678
425.0,0.6721
426.0,0.6608
427.0,0.653
428.0,0.6403
429.0,0.6118
430.0,0.5394
431.0,0.5378
432.0,0.7004
433.0,0.7094
434.0,0.6628
435.0,0.6961
436.0,0.7904
437.0,0.786
438.0,0.7209
439.0,0.748
440.0,0.7775
441.0,0.8119
442.0,0.8763
443.0,0.857
444.0,0.8814
445.0,0.866
446.0,0.8328
447.0,0.9069
448.0,0.9243
449.0,0.9359
450.0,0.9684
451.0,1.01
452.0,0.9783
453.0,0.9252
454.0,0.9719
455.0,0.9827
456.0,1.012
457.0,1.034
458.0,1.002
459.0,1.003
460.0,1.009
461.0,1.038
462.0,1.052
463.0,1.048
464.0,1.036
465.0,1.029
466.0,1.045
467.0,1.029
468.0,1.046
469.0,1.056
470.0,1.026
471.0,1.029
472.0,1.087
473.0,1.077
474.0,1.08
475.0,1.091
476.0,1.06
477.0,1.066
478.0,1.101
479.0,1.101
480.0,1.109
481.0,1.137
482.0,1.15
483.0,1.142
484.0,1.123
485.0,1.075
486.0,0.9437
487.0,0.9935
488.0,1.093
489.0,1.099
490.0,1.162
491.0,1.146
492.0,1.086
493.0,1.125
494.0,1.14
495.0,1.154
496.0,1.164
497.0,1.186
498.0,1.134
499.0,1.151
500.0,1.12
501.0,1.102
502.0,1.086
503.0,1.131
504.0,1.095
505.0,1.146
506.0,1.185
507.0,1.131
508.0,1.101
509.0,1.137
510.0,1.135
511.0,1.17
512.0,1.187
513.0,1.127
514.0,1.123
515.0,1.114
516.0,1.114
517.0,0.9926
518.0,1.046
519.0,1.099
520.0,1.141
521.0,1.154
522.0,1.157
523.0,1.138
524.0,1.18
525.0,1.194
526.0,1.142
527.0,1.077
528.0,1.14
529.0,1.203
530.0,1.187
531.0,1.206
532.0,1.167
533.0,1.135
534.0,1.171
535.0,1.2
536.0,1.214
537.0,1.169
538.0,1.193
539.0,1.185
540.0,1.137
541.0,1.143
542.0,1.18
543.0,1.172
544.0,1.192
545.0,1.19
546.0,1.195
547.0,1.199
548.0,1.188
549.0,1.194
550.0,1.21
551.0,1.198
552.0,1.208
553.0,1.188
554.0,1.218
555.0,1.222
556.0,1.207
557.0,1.171
558.0,1.162
559.0,1.141
560.0,1.156
561.0,1.171
562.0,1.162
563.0,1.194
564.0,1.161
565.0,1.151
566.0,1.134
567.0,1.155
568.0,1.14
569.0,1.104
570.0,1.106
571.0,1.104
572.0,1.124
573.0,1.136
574.0,1.132
575.0,1.109
576.0,1.101
577.0,1.115
578.0,1.102
579.0,1.113
580.0,1.143
581.0,1.157
582.0,1.185
583.0,1.194
584.0,1.208
585.0,1.182
586.0,1.159
587.0,1.182
588.0,1.14
589.0,0.984
590.0,1.032
591.0,1.11
592.0,1.087
593.0,1.117
594.0,1.106
595.0,1.069
596.0,1.136
597.0,1.119
598.0,1.124
599.0,1.129
600.0,1.138
601.0,1.134
602.0,1.128
603.0,1.15
604.0,1.171
605.0,1.167
606.0,1.166
607.0,1.181
608.0,1.171
609.0,1.175
610.0,1.17
611.0,1.178
612.0,1.177
