interpolation:linear
wavelength,value
280.0,4.765e-22
280.5,1.5550000000000002e-20
281.0,8.312000000000001e-20
281.5,4.656e-19
282.0,7.7e-19
282.5,1.907e-18
283.0,6.015e-18
283.5,9.778e-18
284.0,1.599e-16
284.5,4.648e-16
285.0,8.049e-16
285.5,3.979e-15
286.0,1.6e-14
286.5,7.166e-14
287.0,2.049e-13
287.5,7.867e-13
288.0,2.622e-12
288.5,7.993e-12
289.0,2.138e-11
289.5,6.472e-11
290.0,1.799e-10
290.5,3.67e-10
291.0,7.88e-10
291.5,2.262e-09
292.0,4.827e-09
292.5,6.774e-09
293.0,1.453e-08
293.5,3.538e-08
294.0,5.532e-08
294.5,7.482e-08
295.0,1.267e-07
295.5,2.273e-07
296.0,4.46e-07
296.5,6.362e-07
297.0,8.766e-07
297.5,2.43e-06
298.0,3.959e-06
298.5,4.1e-06
299.0,9.334e-06
299.5,1.655e-05
300.0,1.897e-05
300.5,2.88e-05
301.0,5.674e-05
301.5,9.868e-05
302.0,8.865e-05
302.5,0.0001791
303.0,0.0003374
303.5,0.0004403
304.0,0.0004268
304.5,0.000692
305.0,0.00118
305.5,0.001458
306.0,0.001453
306.5,0.001901
307.0,0.003147
307.5,0.004655
308.0,0.005004
308.5,0.006234
309.0,0.006388
309.5,0.00786
310.0,0.008164
310.5,0.01344
311.0,0.01734
311.5,0.01694
312.0,0.01795
312.5,0.0227
313.0,0.02513
313.5,0.02396
314.0,0.03136
314.5,0.02954
315.0,0.03924
315.5,0.03189
316.0,0.02924
316.5,0.04379
317.0,0.05434
317.5,0.05589
318.0,0.04487
318.5,0.05882
319.0,0.07173
319.5,0.05598
320.0,0.06722
320.5,0.08889
321.0,0.08315
321.5,0.08014
322.0,0.08104
322.5,0.07071
323.0,0.0729
323.5,0.09241
324.0,0.1085
324.5,0.1087
325.0,0.09235
325.5,0.1221
326.0,0.1504
326.5,0.1533
327.0,0.1519
327.5,0.1455
328.0,0.1266
328.5,0.1369
329.0,0.1677
329.5,0.1918
330.0,0.1925
330.5,0.1514
331.0,0.1534
331.5,0.158
332.0,0.174
332.5,0.1737
333.0,0.1723
333.5,0.1539
334.0,0.1574
334.5,0.1845
335.0,0.175
335.5,0.2048
336.0,0.1418
336.5,0.1651
337.0,0.1346
337.5,0.1671
338.0,0.1654
338.5,0.1915
339.0,0.1897
339.5,0.1825
340.0,0.2141
340.5,0.1933
341.0,0.1889
341.5,0.1737
342.0,0.2078
342.5,0.1946
343.0,0.2139
343.5,0.2014
344.0,0.1487
344.5,0.1503
345.0,0.1994
345.5,0.2038
346.0,0.1734
346.5,0.1966
